baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
FBgn0000003	0.291598748200911	0.738268065604775	2.29339062575411	0.321911172616753	0.747519988840306	NA	NA
FBgn0000008	758.787838773696	0.00352534646719476	0.104215414562937	0.0338274955003489	0.973014710249812	0.991723541593495	a
FBgn0000014	182.275161394378	0.336672842922244	0.147800501774463	2.27788700904406	0.0227333104794378	0.204480042851462	abd-A
FBgn0000015	62.7797603851693	0.538333467015127	0.162416525125746	3.31452397838421	0.000917993061099934	0.0248913901311923	Abd-B
FBgn0000017	3334.37975468219	-0.126919300402089	0.0720763720793409	-1.76090023319123	0.078255290462976	0.368005435921242	Abl
FBgn0000018	318.472633908603	0.212511420759625	0.114581013567878	1.85468267509899	0.0636415542007212	0.340733489534178	abo
FBgn0000022	0.0466204948570241	0	3.95087700848185	0	1	NA	ac
FBgn0000024	433.989699026842	0.162359424443933	0.176780341490199	0.918424656697104	0.358396586986845	0.69696224521967	Ace
FBgn0000028	12.6494086089624	0.373413544805702	0.351068001829401	1.06365018418044	0.287487199373712	0.638357185049698	acj6
FBgn0000032	2226.81809032157	-0.0337294490223776	0.0961002250478446	-0.350981998279245	0.725601853650919	0.896104736593361	Acph-1
FBgn0000036	42.9891509746209	0.226277514371428	0.272676942814363	0.82983736004946	0.406630744695714	0.731799980586517	nAChRalpha1
FBgn0000037	83.0989800046863	0.184960816129155	0.225101070933603	0.821678970082344	0.411259631152463	0.733708127348397	mAChR-A
FBgn0000038	239.875275809136	-0.120354642618623	0.148886832198435	-0.808363243689786	0.418881504890394	0.738875406052949	nAChRbeta1
FBgn0000039	25.4722695116916	0.0334210938183755	0.248889777889407	0.134280700886101	0.893180613484662	0.967147447055598	nAChRalpha2
FBgn0000042	51197.643426062	-0.0440000297695556	0.0543073744966314	-0.810203589795799	0.417823174641354	0.737807906079062	Act5C
FBgn0000043	7891.10614644408	-0.084758736387104	0.0722858682134063	-1.17254919228299	0.240976634257982	0.595124262703162	Act42A
FBgn0000044	8181.56214206124	0.581142068972357	0.104562687155576	5.5578341068042	2.73142800121555e-08	1.07729543647942e-05	Act57B
FBgn0000045	786.757069166371	0.179391379049831	0.17628133041884	1.01764252983343	0.308847868049032	0.658970335975584	Act79B
FBgn0000046	872.955297729183	0.260363980237122	0.0984117210299865	2.64566026802628	0.00815316545104718	0.113136385984302	Act87E
FBgn0000047	586.417464019149	0.809988264143434	0.212993965481953	3.80286954285597	0.000143029683679165	0.00692814787482118	Act88F
FBgn0000052	3254.53911700578	0.0718289776227586	0.0813860380310427	0.88257125374946	0.377467965773941	0.709918110748211	ade2
FBgn0000053	2657.99914402884	0.36925422038937	0.169806561703877	2.17455801874905	0.0296632531793591	0.237685465091794	ade3
FBgn0000055	140.088102822467	0.0430695257721059	0.164116846854344	0.262432081761422	0.792988341488893	0.926646861463318	NA
FBgn0000057	970.895627017885	-0.0117059663833906	0.0554647500430498	-0.211052359819612	0.832846414193562	0.942416183855189	adp
FBgn0000061	3.40572303489935	0.339816148192533	0.710743760014698	0.478113445815558	0.632569462556392	NA	al
FBgn0000063	918.299021878591	-0.0176926844135741	0.135540071171544	-0.130534713908934	0.896143391361007	0.967300071331662	Mps1
FBgn0000064	13647.4632346374	0.161595274442252	0.134401730379409	1.20233031216248	0.229235577229701	0.582886738758139	Ald
FBgn0000071	4.45499190743253	1.64611266935321	0.760044910458262	2.16580973927014	0.030325728808926	0.240103112331786	Ama
FBgn0000075	46.3744596450891	-1.44496486841963	0.480646169498262	-3.00629644032742	0.002644510489469	0.0521507263006582	amd
FBgn0000077	402.986057937172	0.015137026638409	0.078603309778686	0.192574926946823	0.847291882749053	0.949269990467613	amx
FBgn0000078	6830.2023024051	0.198449173764543	0.328750481333746	0.603646793031091	0.546078495573106	0.812177360245531	Amy-d
FBgn0000079	8058.17266509168	0.269881215882358	0.375608817807098	0.71851672028893	0.472438742117074	0.773405098355837	Amy-p
FBgn0000083	4030.31783277431	0.242505838627235	0.117857656012419	2.05761633848955	0.039626977007414	0.271549342440123	AnxB9
FBgn0000084	953.527356513179	-0.109927766477258	0.272167379103715	-0.403897656064681	0.686287980048555	0.879203290489379	AnxB10
FBgn0000092	6.86163188526773	1.24182293832377	0.584265120990927	2.12544424390354	0.0335495618026237	0.253562302083847	CG2650
FBgn0000094	0.0815002966311082	0.257362870830094	3.95087700848185	0.0651406941490662	0.948061979973568	NA	Anp
FBgn0000097	2180.30933152902	0.051491764778739	0.0632719906253476	0.813816102035373	0.415750309225902	0.736502728722853	aop
FBgn0000100	18264.191795898	-0.247070032473428	0.183925335485486	-1.34331701405501	0.179169345171144	0.527501895694639	RpLP0
FBgn0000108	651.745354904578	0.183422683095279	0.161902279109266	1.13292218061667	0.257246934474173	0.611984500629391	Appl
FBgn0000109	368.963650445897	0.0454674868000406	0.104866867289391	0.433573424812705	0.664598236373999	0.869260534482764	Aprt
FBgn0000114	14157.8486095111	-0.0531185900298411	0.0767021882382833	-0.69253030780325	0.488604359548962	0.781980477099208	bru1
FBgn0000115	766.232488270159	0.00883132808153417	0.0621109091165253	0.142186424368155	0.88693275462518	0.963576805110385	Arl1
FBgn0000116	11620.0556816298	-0.0856803283200129	0.0616298215889793	-1.39024138170366	0.164455591296673	0.510429995690795	Argk
FBgn0000117	9305.2490346915	-0.0682330343084628	0.0596568301514572	-1.14375896498745	0.252723612055437	0.606548060576593	arm
FBgn0000119	733.178374049944	0.325355919699653	0.103170789184522	3.15356625912545	0.00161288609493613	0.037501362499945	arr
FBgn0000120	4021.33998789183	-0.105221282753416	0.0908784383084474	-1.15782450394105	0.246935661462001	0.599411410738284	Arr1
FBgn0000121	9014.67955019557	0.0906197728090873	0.132159975185906	0.685682429053235	0.492913389289567	0.784153224918193	Arr2
FBgn0000137	1.91675090390732	0.562428782155512	1.12521859213757	0.499839574359566	0.617188042593096	NA	ase
FBgn0000139	955.130365062527	-0.0472746961430735	0.0698412935776339	-0.676887464727785	0.498477358013191	0.787728956510182	ash2
