gene	slope	pval	r2	symbol	DEGs
1	FBgn0041579	1.636	8.690e-03	0.578	-	Smurf & old non-Smurf
2	FBgn0033830	1.582	4.600e-04	0.733	CG10814	Smurf & old non-Smurf
3	FBgn0038074	1.471	3.300e-04	0.853	Gnmt	Smurf & old non-Smurf
4	FBgn0038299	0.999	1.960e-03	0.687	Spn88Eb	Smurf & old non-Smurf
5	FBgn0030310	0.972	2.450e-03	0.541	PGRP-SA	 old non-Smurf
6	FBgn0040972	0.94	1.463e-02	0.541	CG16978	Smurf & old non-Smurf
7	FBgn0039452	0.877	4.100e-04	0.786	CG14245	Smurf & old non-Smurf
8	FBgn0033927	0.868	4.900e-04	0.722	-	Smurf & old non-Smurf
9	FBgn0033926	0.841	1.990e-03	0.674	Arc1	Smurf & old non-Smurf
10	FBgn0038652	0.78	1.060e-03	0.613	CG7720	Smurf & old non-Smurf
11	FBgn0034647	0.721	3.390e-03	0.578	pirk	Smurf & old non-Smurf
12	FBgn0032387	0.67	6.600e-03	0.505	CG16965	 old non-Smurf
13	FBgn0040759	0.668	6.480e-03	0.548	CG13177	Smurf & old non-Smurf
14	FBgn0033875	0.667	6.060e-03	0.538	CG6357	 old non-Smurf
15	FBgn0031562	0.655	1.215e-02	0.541	CG3604	Smurf & old non-Smurf
16	FBgn0036951	0.627	1.619e-02	0.505	CG7017	 old non-Smurf
17	FBgn0039593	0.626	1.821e-02	0.551	Sid	Smurf & old non-Smurf
18	FBgn0039656	0.615	2.400e-03	0.576	-	 old non-Smurf
19	FBgn0030309	0.594	1.680e-03	0.556	CG1572	 old non-Smurf
20	FBgn0033593	0.585	3.748e-02	0.558	Listericin	Smurf & old non-Smurf
21	FBgn0033397	0.581	2.000e-04	0.81	Cyp4p3	Smurf & old non-Smurf
22	FBgn0041182	0.576	1.029e-02	0.601	Tep2	 old non-Smurf
23	FBgn0039075	0.572	1.830e-03	0.547	CG4393	 old non-Smurf
24	FBgn0033134	0.568	6.100e-04	0.614	Tsp42El	 old non-Smurf
25	FBgn0035176	0.552	1.000e-02	0.746	CG13905	Smurf & old non-Smurf
26	FBgn0051769	0.552	2.229e-02	0.519	CG31769	 old non-Smurf
27	FBgn0038088	0.52	3.800e-04	0.741	CG10126	Smurf & old non-Smurf
28	FBgn0267130	0.513	3.800e-03	0.575	-	Smurf & old non-Smurf
29	FBgn0010424	0.51	1.550e-03	0.704	TpnC73F	Smurf & old non-Smurf
30	FBgn0050091	0.502	8.240e-03	0.782	CG30091	 old non-Smurf
31	FBgn0038660	0.484	1.770e-03	0.575	CG14291	 old non-Smurf
32	FBgn0035607	0.478	4.730e-03	0.578	CG4835	 old non-Smurf
33	FBgn0054043	0.474	1.905e-02	0.549	CG34043	Smurf & old non-Smurf
34	FBgn0250871	0.459	7.650e-03	0.555	pot	Smurf & old non-Smurf
35	FBgn0041710	0.458	2.236e-02	0.571	yellow-f	Smurf & old non-Smurf
36	FBgn0020414	0.451	2.120e-03	0.68	Idgf3	Smurf & old non-Smurf
37	FBgn0262146	0.448	1.190e-03	0.576	MtnE	Smurf & old non-Smurf
38	FBgn0053258	0.43	2.084e-02	0.62	CG33258	Smurf & old non-Smurf
39	FBgn0035300	0.427	3.390e-03	0.73	CG1139	 old non-Smurf
40	FBgn0033130	0.424	9.400e-04	0.666	Tsp42Ei	Smurf & old non-Smurf
41	FBgn0038465	0.417	2.791e-02	0.624	Irc	Smurf & old non-Smurf
