gene	slope	pval	r2	symbol
FBgn0030310	0.972406100211202	0.00244777771133805	0.540912371628844	PGRP-SA
FBgn0032387	0.669561580127846	0.00660411429599205	0.504629361252172	CG16965
FBgn0033875	0.666790666163367	0.00606388814551021	0.538233601654275	CG6357
FBgn0036951	0.627180291955722	0.0161877414759811	0.505241954164223	CG7017
FBgn0039656	0.615005064160247	0.00239826100679443	0.575507543181662	FBgn0039656
FBgn0030309	0.594432615460387	0.0016791870243258	0.555648947336729	CG1572
FBgn0041182	0.575624891411964	0.0102890876555941	0.600730412688192	Tep2
FBgn0039075	0.572047626727056	0.00182718019132576	0.547240944864282	CG4393
FBgn0033134	0.5675630565001	0.000610898210630865	0.614300822479543	Tsp42El
FBgn0051769	0.551718161943076	0.0222883635554077	0.518977570214255	CG31769
FBgn0050091	0.502210105566748	0.00823933027164108	0.782394854755673	CG30091
FBgn0038660	0.484131984089834	0.00176680447847708	0.574950228826982	CG14291
FBgn0035607	0.477518280542986	0.00473067907953831	0.57769821413975	CG4835
FBgn0035300	0.426863901039288	0.00339032786996819	0.729717271524882	CG1139
FBgn0041337	0.392937228416	0.0293414872726237	0.542767345554678	Cyp309a2
FBgn0033574	0.372579054984455	0.00290335704282679	0.635082041816428	Spn47C
FBgn0050082	0.357813260236657	0.00184725258736558	0.538579811231423	CG30082
FBgn0085354	0.352185206037073	0.00615243289786574	0.563390151325983	CG34325
FBgn0043806	0.351888803010687	0.00290341282813389	0.681439760916452	CG32032
FBgn0029639	0.323036272769004	0.00972093079099449	0.535074894963588	CG14419
FBgn0013771	0.315663291098024	0.00348040748010158	0.625144041804647	Cyp6a9
FBgn0039094	0.309019467791156	0.0315699732906151	0.610871780228589	CG10184
FBgn0032908	0.299800187286575	0.00122937951823582	0.697908513328424	CG9270
FBgn0039809	0.297459267024737	0.0114643160491648	0.546399962852392	CG15547
FBgn0038651	0.270908309174384	0.00254256601389297	0.536854403176328	Epg5
FBgn0051793	0.269225130614403	0.00318255057626878	0.700358504774045	CG31793
FBgn0050197	0.264952047112552	0.0256420487772609	0.590418237294859	CG30197
FBgn0259697	0.262974004583569	0.00794883463674131	0.716879732587892	nvd
FBgn0039310	0.260987659169685	0.0384904943675774	0.524048064803577	CG11878
FBgn0036449	0.260850041167976	0.00969134021662154	0.538770266251231	bmm
FBgn0284244	0.254428726905135	0.0025144277609934	0.535596309627473	l(2)k05911
FBgn0032079	0.249556706991504	0.00955650475554986	0.535002118987739	CG31886
FBgn0265376	0.249347307683998	0.00171176971561772	0.664890358189076	FBgn0265376
FBgn0033778	0.246361738246777	0.00317105496924917	0.70796340428176	CG3790
FBgn0026255	0.241555552349857	0.0130254789115488	0.68186477048581	clumsy
FBgn0031910	0.2395182654747	0.0372846984764404	0.615057894318267	CG15818
FBgn0025881	0.238676783548332	0.00157884833994324	0.554568921318167	FBgn0025881
FBgn0031277	-2.06179302476908	0.000220070639238251	0.699382274556131	CG13947
FBgn0020908	-1.25873664730036	8.40819414640813e-09	0.952105314613708	Scp1
FBgn0000075	-0.660630474628825	0.00429775056345629	0.525101493364344	amd
FBgn0031700	-0.49136624050246	0.000729339316497383	0.606288560256757	CG14022
FBgn0085241	-0.473977089192027	0.00283930090084179	0.528777276459983	CG34212
FBgn0036361	-0.443085905086087	0.00279447352750404	0.525082707981617	CG10154
FBgn0038181	-0.441143402421251	0.00101554427237684	0.60122610634114	CG9297
FBgn0010241	-0.410295192744626	0.0291652977668395	0.654280888327646	Mdr50
