GI number	Uniprot	log2FoldChange	Anova p-value	Description
12039038	Q9GPJ1	-6.12911812808932	0.33	SKELETOR [Drosophila melanogaster]
117935474	P11449	-2.90872322489675	0.14	IP02742p [Drosophila melanogaster]
158413	C0HKF7	-2.41682454736985	0.000174	serine protease 1 [Drosophila melanogaster]
85815873	Q9VAC2	2.28095631383106	0.00755	CG7912 [Drosophila melanogaster]
24647295	Q960T2	-2.20686825173773	0.12	Synapse-associated protein 47kD, isoform A [Drosophila melanogaster]
157036	Q03017	2.13028850556585	0.02	cactus zygotic protein [Drosophila melanogaster]
544735062	T2GG67	-1.98110309396813	0.04	FI21455p1 [Drosophila melanogaster]
21357287	Q9VG44	1.92635209969108	0.03	CG6225, isoform A [Drosophila melanogaster]
386766681	A0A0B4K7B3	1.9242005254802	0.00927	CG9990, isoform E [Drosophila melanogaster]
21429816	Q8MSK6	-1.8894887738892	0.02	GH02222p [Drosophila melanogaster]
24642613	Q9VXC7	-1.86364896566715	0.00232	CG9673 [Drosophila melanogaster]
146189014	A4VA01	1.8518409217007	0.03	CG6687 protein [Drosophila melanogaster]
221330295	A1ZA38	-1.83240442613424	0.45	CG30088 [Drosophila melanogaster]
223890343	C0HDP3	-1.8220658957849	0.07	MIP05512p [Drosophila melanogaster]
19921716	Q7K332	-1.79213281468603	0.2	CG30159, isoform A [Drosophila melanogaster]
20130321	Q9W1H5	-1.71925573806039	0.13	decapping protein 1, isoform A [Drosophila melanogaster]
21357171	Q9VG69	-1.72241078386003	0.07	CG5844 [Drosophila melanogaster]
20129157	Q9VQ22	1.70560142325687	0.02	CG10869 [Drosophila melanogaster]
386763881	Q9W443	1.69411011520441	0.01	CG5921, isoform D [Drosophila melanogaster]
4704760	Q9VVX5	1.66382918019287	0.09	putative transmembrane protein nessy [Drosophila melanogaster]
24586301	Q95RV5	-1.61272393521989	0.53	CG30499, isoform A [Drosophila melanogaster]
19920758	Q9VMQ7	1.58375971285003	0.03	CG6907 [Drosophila melanogaster]
19920758	X2J4N6	1.58375971285003	0.03	CG6907 [Drosophila melanogaster]
24653791	Q5U156	-1.57537645189196	0.02	relative of woc, isoform A [Drosophila melanogaster]
202028539	B5RJP0	-1.57744255223917	0.07	FI07842p [Drosophila melanogaster]
24640291	Q9W3T2	-1.50526728911004	0.04	CG4593 [Drosophila melanogaster]
21358267	Q9W0B2	1.48933290479637	0.02	CG7970, isoform A [Drosophila melanogaster]
19528295	Q9VMA2	-1.48382205617466	0.08	HL01018p [Drosophila melanogaster]
24646169	Q9VGE7	1.45441805679057	0.08	Ectoderm-expressed 3 [Drosophila melanogaster]
78706594	Q95T35	-1.45100860907642	0.24	CG33791, isoform B [Drosophila melanogaster]
21356299	Q9VNP8	-1.38237412150017	0.72	Ssl1, isoform A [Drosophila melanogaster]
162944784	A9UN56	1.37705784704716	0.09	IP19441p [Drosophila melanogaster]
386765418	A0A0B4K648	1.36315075761388	0.00476	CG9492, isoform F [Drosophila melanogaster]
24641052	Q7KVQ8	-1.3514043981521	0.00151	CG1628, isoform B [Drosophila melanogaster]
24582811	Q9VLM7	-1.3365299017902	0.02	CG13392, isoform A [Drosophila melanogaster]
24654573	Q8IRJ9	-1.34094741429265	0.22	glycerol kinase, isoform B [Drosophila melanogaster]
17737553	M9NE68	-1.32956815708949	0.91	heat shock protein 23, isoform A [Drosophila melanogaster]
17737553	P02516	-1.32956815708949	0.91	heat shock protein 23, isoform A [Drosophila melanogaster]
17136612	P23380	-1.31397984691728	0.32	vacuolar H[+] ATPase subunit 16-1, isoform A [Drosophila melanogaster]
24639869	Q9W4C1	1.30104072841354	0.02	CG15784 [Drosophila melanogaster]
45552813	A0A0F7J3E9	-1.29609085320924	0.26	lethal (2) tumorous imaginal discs, isoform B [Drosophila melanogaster]
45552813	Q27237	-1.29609085320924	0.26	lethal (2) tumorous imaginal discs, isoform B [Drosophila melanogaster]
21355271	Q9VT15	-1.27906896409912	0.34	CG3088 [Drosophila melanogaster]
28571714	Q9VFC9	1.27909231464063	0.05	CG3987 [Drosophila melanogaster]
17864562	H1ZYB5	-1.265344566521	0.86	target of rapamycin, isoform A [Drosophila melanogaster]
17864562	Q9VK45	-1.265344566521	0.86	target of rapamycin, isoform A [Drosophila melanogaster]
260099743	C9QP20	-1.26459281701592	0.23	MIP13910p [Drosophila melanogaster]
10959	P35415	0.139403056665416	0.05	paramyosin
7211777	Q9NH01	-1.24317398347295	0.02	DID [Drosophila melanogaster]
17137442	O76767	1.23522253225748	0.02	KDEL receptor, isoform A [Drosophila melanogaster]
27447605	Q8I8U7	-1.23876876826926	0.2	transformation/transcription domain-associated protein [Drosophila melanogaster]
19922428	Q7K533	1.23376639449666	0.36	CG11395 [Drosophila melanogaster]
28317069	Q86P04	-1.21673478647452	0.03	RE01362p, partial [Drosophila melanogaster]
158416	P22700	0.161105300552302	0.000978	sarco/endoplasmic reticulum-type Ca-2+-ATPase
17944482	Q8SZM1	1.20356823635097	0.08	RH04336p [Drosophila melanogaster]
442626722	M9PF50	1.20211225263974	0.11	piezo, isoform K [Drosophila melanogaster]
329112641	F3YDI3	1.19489702970219	0.11	MIP30431p [Drosophila melanogaster]
161077530	A8JUV4	-1.17659876499365	0.07	vitelline membrane-like [Drosophila melanogaster]
6735406	Q9NFT2	-1.16878767774061	0.00731	fatty acid desaturase [Drosophila melanogaster]
24642609	Q9VXC9	-1.17467853141295	0.08	CG9676 [Drosophila melanogaster]
2827169	O44386	1.1591253418596	0.82	integrin alpha subunit [Drosophila melanogaster]
401834984	M9NVU6	1.14265207129221	0.09	ATP synthase F0 subunit 6, partial (mitochondrion) [Drosophila melanogaster]
78706758	Q9VG86	-1.1019114564539	0.09	CG10097, isoform B [Drosophila melanogaster]
24657351	Q9W2C5	-1.08975465275833	0.00188	CG4363 [Drosophila melanogaster]
320545506	M9MRZ7	-1.07893963125533	0.06	shaker cognate b, isoform M [Drosophila melanogaster]
24652901	A0A1B2AJH4	-1.07528812730424	0.02	small ribonucleoprotein particle protein SmD3 [Drosophila melanogaster]
24652901	O44437	-1.07528812730424	0.02	small ribonucleoprotein particle protein SmD3 [Drosophila melanogaster]
24666045	Q9VVJ7	-1.06767560878077	0.36	CG7484 [Drosophila melanogaster]
45551956	Q9VCI3	-1.0560528052195	0.11	lipid storage droplet-1, isoform A [Drosophila melanogaster]
194859949	B3N9P9	-1.04478792174684	0.04	GG23931 [Drosophila erecta]
85857654	Q29QU0	-1.04044414537016	0.26	IP12389p [Drosophila melanogaster]
17647425	E4NKN3	-1.03441003078583	0.09	fibrillarin [Drosophila melanogaster]
17647425	Q9W1V3	-1.03441003078583	0.09	fibrillarin [Drosophila melanogaster]
21357667	A0A0B4KI38	-1.02692361941617	0.23	CG11334, isoform B [Drosophila melanogaster]
21357667	Q9V9X4	-1.02692361941617	0.23	CG11334, isoform B [Drosophila melanogaster]
21358365	Q9VNZ3	-1.00416362494154	0.00946	Rpb8 [Drosophila melanogaster]
419961	NA	-0.439497691268538	0.05	polyadenylate-binding protein - fruit fly (Drosophila melanogaster)
28574508	Q8T0E7	1.00220388666353	0.56	CG10984, isoform C [Drosophila melanogaster]
28557557	Q86NM8	-0.992121427555597	0.12	SD25413p [Drosophila melanogaster]
790585	Q09332	0.147845467971394	0.03	UDP-glucose:glycoprotein glucosyltransferase precursor
20129163	Q9VQ62	-0.984679200716244	0.18	Niemann-Pick type C-2a [Drosophila melanogaster]
21356599	Q9VV99	-0.983605561749331	0.02	CG13025, isoform A [Drosophila melanogaster]
24641361	Q961E7	-0.988999205054345	0.14	phosphorylase kinase gamma, isoform B [Drosophila melanogaster]
806545	P46223	-0.521768674233962	0.02	ribosomal protein L7a
281360236	A1Z6P3	0.983385286149104	0.02	Eb1, isoform F [Drosophila melanogaster]
21356415	Q9VPH6	-0.978235085723798	0.31	CG5618, isoform A [Drosophila melanogaster]
24654665	Q9W0S6	-0.981710420331806	0.12	mitochondrial ribosomal protein L17, isoform A [Drosophila melanogaster]
19921704	Q9V9A8	-0.961046365655424	0.00432	phtf [Drosophila melanogaster]
297372436	D7FAJ6	-0.964993550172087	0.0078	gustatory receptor 93c [Drosophila melanogaster]
21358061	M9PC96	0.954914617851445	0.12	RhoGAP68F, isoform A [Drosophila melanogaster]
21358061	Q9VTU3	0.954914617851445	0.12	RhoGAP68F, isoform A [Drosophila melanogaster]
221330889	G4LTX1	-0.955330950666272	0.29	Pmi, isoform C [Drosophila melanogaster]
221330889	Q8IQ56	-0.955330950666272	0.29	Pmi, isoform C [Drosophila melanogaster]
21355857	Q9VHD3	-0.949451668445434	0.02	glutathione S transferase Z1 [Drosophila melanogaster]
24658602	Q9VRP4	-0.950335641744298	0.41	bifunctional phosphopantetheine adenylyltransferase - Dephospho-CoA kinase [Drosophila melanogaster]
281360460	Q9VPK3	-0.94619663627275	0.44	CG31974, isoform B [Drosophila melanogaster]
24654848	Q9W0N5	0.941322975656096	0.82	CG13894 [Drosophila melanogaster]
24662435	Q9VTE1	-0.946289413255232	0.19	CG32069 [Drosophila melanogaster]
17136556	P20659	-0.939458458064949	0.00824	trithorax, isoform D [Drosophila melanogaster]
24639833	A8JUY0	0.927819221451494	0.14	RNA-binding protein 4F, isoform A [Drosophila melanogaster]
24639833	Q9W4D2	0.927819221451494	0.14	RNA-binding protein 4F, isoform A [Drosophila melanogaster]
21358089	Q9VRS7	-0.922694273832551	0.05	jonah 65Aiii [Drosophila melanogaster]
24762794	Q9W0Y1	-0.921498977376259	0.33	troponin C-akin-1, isoform A [Drosophila melanogaster]
19921976	Q7K2L7	0.90850372803082	0.21	CG17765 [Drosophila melanogaster]
21483210	Q8MR83	0.911072091470542	0.24	AT11715p [Drosophila melanogaster]
24649486	Q8IMX8	-0.911342380179603	0.000625	LSm3, isoform A [Drosophila melanogaster]
62484204	Q9W3G7	0.908138938968643	0.15	CG1636 [Drosophila melanogaster]
320541934	NA	-0.902901311894919	0.16	CG32686, isoform D [Drosophila melanogaster]
20129491	Q9VK31	-0.907289626185226	0.24	CG5439 [Drosophila melanogaster]
829184	P48810	-0.467932447710969	0.02	heterogeneous nuclear ribonucleoprotein
19920456	Q9VPN0	-0.894131364893177	0.24	CG3625, isoform B [Drosophila melanogaster]
24665264	Q9VV47	-0.884006809790719	0.71	CG4842 [Drosophila melanogaster]
969094	P48605	-0.201192062041749	0.01	chaperonin containing T-complex protein gamma subunit-like protein
24580572	Q7K1C0	-0.874987420433262	0.07	CG11455, isoform A [Drosophila melanogaster]
24647481	Q9VET3	-0.869124232295785	0.07	CG14903 [Drosophila melanogaster]
780747	P14199	0.864485029343519	0.01	Ref(2)P protein [Drosophila melanogaster]
3694982	Q9VW60	-0.867042662245497	0.2	adenylyl cyclase 76E [Drosophila melanogaster]
1296517	Q27597	-0.137371172477801	0.03	NADPH--ferrihemoprotein reductase
281359881	Q9W4D3	-0.863008615307618	0.51	CG15930 [Drosophila melanogaster]
386769147	M9ND31	-0.853375086281517	0.03	oscillin, isoform D [Drosophila melanogaster]
3550815	O77466	-0.270089163367744	0.02	thiolase
20129125	Q9VPL0	0.847150603743503	0.17	CG3436, isoform A [Drosophila melanogaster]
24648076	B5RIU6	0.852023971391332	0.1	endophilin A, isoform A [Drosophila melanogaster]
24648076	Q8T390	0.852023971391332	0.1	endophilin A, isoform A [Drosophila melanogaster]
4504279	B2R4P9	-0.285621090901034	0.02	histone H3.3 [Homo sapiens]
4504279	P84243	-0.285621090901034	0.02	histone H3.3 [Homo sapiens]
161082301	Q5U126	0.846753739704318	0.09	CG34461, isoform A [Drosophila melanogaster]
10765475	Q9GNE4	-0.382188619704837	0.01	hexokinase-C
17136562	P04814	-0.824913293441909	0.08	alphaTrypsin [Drosophila melanogaster]
17862526	Q8T034	-0.818287157094327	0.05	LD34564p [Drosophila melanogaster]
18859657	Q9Y162	-0.814032062980414	0.09	vacuolar protein sorting 4 [Drosophila melanogaster]
15292561	Q960C6	-0.384937892413163	0.03	SD07650p
16768502	Q95S79	0.330406248811667	0.05	GM06507p
19922666	Q9W2L6	0.812253721470443	0.05	CG9394 [Drosophila melanogaster]
24650924	P13678	-0.811274499248376	0.00957	protein C kinase 98E, isoform A [Drosophila melanogaster]
24651179	Q9VAF2	0.806252365610446	0.56	CG15514, isoform A [Drosophila melanogaster]
24661184	Q8T0R3	0.808888344743213	0.22	CG32026 [Drosophila melanogaster]
21355477	Q95T98	-0.797434208258912	0.23	CG31523, isoform A [Drosophila melanogaster]
17136320	M9PBK5	-0.44555944405574	0.04	ribosomal protein LP1, isoform A
17136320	P08570	-0.44555944405574	0.04	ribosomal protein LP1, isoform A
24646975	Q9VFD0	0.799262671174163	0.41	CG3984 [Drosophila melanogaster]
17864390	Q9NHD5	-0.791846522681734	0.11	separation anxiety [Drosophila melanogaster]
24585795	Q9W5Y4	0.788050079407789	0.04	CG17018, isoform A [Drosophila melanogaster]
24646857	Q9VFI3	-0.792123045912272	0.1	CG8066, isoform A [Drosophila melanogaster]
6946672	Q9NEF8	-0.782934073083095	0.09	EG:BACR25B3.2 [Drosophila melanogaster]
17737899	Q9VGU6	-0.790402138819279	0.12	adenylate kinase-3, isoform A [Drosophila melanogaster]
24642023	Q8SXQ5	-0.784697757215231	0.26	CG14407 [Drosophila melanogaster]
24651187	A4V3L8	0.785102115210476	0.22	CG7816, isoform A [Drosophila melanogaster]
24651187	Q9VAF0	0.785102115210476	0.22	CG7816, isoform A [Drosophila melanogaster]
24664029	Q9VUB8	-0.776621794517996	0.01	endosulfine, isoform A [Drosophila melanogaster]
221330055	B7YZT0	-0.779364216342287	0.2	mangetout, isoform D [Drosophila melanogaster]
386770604	M9NFN0	0.776245610999892	0.7	axotactin, isoform B [Drosophila melanogaster]
17647193	P45437	0.773229138152978	0.05	beta-coatomer protein [Drosophila melanogaster]
18860089	Q9VXK6	0.774904142255075	0.16	eIF5, isoform B [Drosophila melanogaster]
18921203	Q9VWN5	0.773645405008676	0.12	CG7332 [Drosophila melanogaster]
18921203	X2JL49	0.773645405008676	0.12	CG7332 [Drosophila melanogaster]
21355883	Q9VPD3	0.775068585061321	0.2	CG4825, isoform A [Drosophila melanogaster]
21358147	O97066	-0.774610368551338	0.2	twisted bristles roughened eye [Drosophila melanogaster]
17136378	P21187	-0.411426245726465	0.04	polyA-binding protein, isoform A
17137000	P29742	0.191911814881686	0.00493	clathrin heavy chain, isoform A
17137000	X2JC31	0.191911814881686	0.00493	clathrin heavy chain, isoform A
17945870	Q9VU02	-0.771522816202575	0.04	RE39488p [Drosophila melanogaster]
24646928	Q9VFF6	-0.759508162817294	0.04	CG3610 [Drosophila melanogaster]
17137152	P50887	-0.583651555568809	0.00966	ribosomal protein L22
386766061	A0A0B4K6N7	0.766756066221913	0.05	CG14299, isoform D [Drosophila melanogaster]
17137292	P35421	0.291090690964769	0.03	adenosine 2, isoform A
17137300	A0A0B4LEY6	-0.411724765238008	0.01	nascent polypeptide associated complex protein alpha subunit, isoform B
17137300	Q94518	-0.411724765238008	0.01	nascent polypeptide associated complex protein alpha subunit, isoform B
21358103	Q9VRS6	-0.759402983285961	0.15	jonah 65Aiv [Drosophila melanogaster]
17137396	M9PCC1	-0.495527417139212	0.05	receptor of activated protein kinase C 1, isoform A
17137396	O18640	-0.495527417139212	0.05	receptor of activated protein kinase C 1, isoform A
24645728	Q8INL3	0.754551395440731	0.83	CG31373 [Drosophila melanogaster]
24653035	A1Z8Z9	-0.758991900496205	0.4	CG8834, isoform A [Drosophila melanogaster]
17137546	O61491	-0.749025200904415	0.09	Flotillin-1, isoform A [Drosophila melanogaster]
21358587	Q9VEJ3	-0.751376037090372	0.07	CG5840, isoform A [Drosophila melanogaster]
24651315	Q8IMJ0	-0.746154807508093	0.17	CG31030, isoform A [Drosophila melanogaster]
45550800	Q9VCI4	0.748951209766885	0.05	CG10217, isoform A [Drosophila melanogaster]
17137572	P08736	-0.299743725821376	0.03	elongation factor 1alpha48D, isoform A
3065729	Q9VWA1	-0.736965594166206	0.2	clathrin light chain [Drosophila melanogaster]
19922002	Q7JZK1	-0.742458010259373	0.82	CG7712, isoform A [Drosophila melanogaster]
19922352	Q7K1Z5	-0.742084547202284	0.14	CG8386 [Drosophila melanogaster]
17530795	P47938	-0.809193921721385	0.01	deadhead
17530795	X2JDR5	-0.809193921721385	0.01	deadhead
17647277	P07185	-0.83884520818542	0.04	chorion protein 15
17647601	P11997	0.892265548451656	0.02	larval serum protein 1 gamma
442631079	M9PET1	0.739271941506634	0.13	CG43078, isoform K [Drosophila melanogaster]
17864394	M9MRF2	-0.727854543466453	0.48	ribosomal protein L37A, isoform A [Drosophila melanogaster]
17864394	Q9VMU4	-0.727854543466453	0.48	ribosomal protein L37A, isoform A [Drosophila melanogaster]
17647881	A0A1B2AIV7	-0.583871615950171	0.05	ribosomal protein L14
17647881	P55841	-0.583871615950171	0.05	ribosomal protein L14
17647885	P41093	-0.396594894325379	0.03	ribosomal protein L18A
