Symbol,Alias,Description,Function,Gene_Set,Species,Literature_Name,Literature_Link,KEGG_ID,KEGG_Name,Gene_ID
NFE2L2,"NF-E2-Related Factor 2","nuclear factor, erythroid 2-like 2","NFE2L2 is a ranscription factor that plays a key role in the response to oxidative stress: binds to antioxidant response (ARE) elements present in the promoter region of many cytoprotective genes, such as phase 2 detoxifying enzymes, and promotes their expression, thereby neutralizing reactive electrophiles. In normal conditions, ubiquitinated and degraded in the cytoplasm by the BCR(KEAP1) complex.The NFE2L2/NRF2 pathway is also activated in response to selective autophagy: autophagy promotes interaction between KEAP1 and SQSTM1/p62 and subsequent inactivation of the BCR(KEAP1) complex, leading to NFE2L2/NRF2 nuclear accumulation and expression of cytoprotective genes.","genomic instability","Homo sapiens","p62/SQSTM1 Is a Target Gene for Transcription Factor NRF2 and Creates a Positive Feedback Loop by Inducing Antioxidant Response Element-Driven Gene Transcription",10.1074/jbc.M110.118976,unknown,Unknown,4780
NFKB1,"KBF1; p105; NFKB-p50","nuclear factor of kappa light polypeptide gene enhancer in B-cells 1","Chronic, progressive low-grade inflammation induced by knockout of the nfkb1 subunit of the transcription factor NF-κB induces premature ageing.","altered intercellular communication","Homo sapiens","Growing old with nuclear factor-kappaB",10.1379/1466-1268(2002)007<0207:gownfb>2.0.co;2,hsa04211,"Longevity regulating pathway",4790
NFKB2,"P52; LYT10","nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)","NF-kappa-B is a pleiotropic transcription factor present in almost all cell types and is the endpoint of a series of signal transduction events that are initiated by a vast array of stimuli related to many biological processes such as inflammation, immunity, differentiation, cell growth, tumorigenesis and apoptosis.",others,"Homo sapiens","NF-kB2 Induces Senescence Bypass in Melanoma via a Direct Transcriptional Activation of EZH2",10.1038/onc.2015.331,hsa04010,"MAPK signaling pathway",4791
NFKBIA,"IKBA; MAD-3; IkappaBalpha","nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha","NFKBIA may be involved in inflammation, apoptosis, differentiation, and growth.","deregulated nutrient sensing","Homo sapiens","Integrated genomic approaches identify major pathways and upstream regulators in late onset Alzheimer's disease",10.1038/srep12393,hsa04064,"NF-kappa B signaling pathway",4792
NGF,HSAN5,"nerve growth factor (beta polypeptide)","Nerve growth factor is important for the development and maintenance of the sympathetic and sensory nervous systems.","cellular senescence","Homo sapiens","Innovative Therapy for Alzheimer's Disease-With Focus on Biodelivery of NGF",10.3389/fnins.2019.00038,hsa04010,"MAPK signaling pathway",4803
NGFR,"TNFRSF16; P75","nerve growth factor receptor","Low affinity receptor which can bind to NGF, BDNF, NTF3, and NTF4. Forms a heterodimeric receptor with SORCS2 that binds the precursor forms of NGF, BDNF and NTF3 with high affinity, and has much lower affinity for mature NGF and BDNF. Plays an important role in differentiation and survival of specific neuronal populations during development.","cellular senescence","Homo sapiens","Validation of a priori candidate Alzheimer's disease SNPs with brain amyloid-beta deposition",10.1038/s41598-019-53604-5,hsa04010,"MAPK signaling pathway",4804
NLRP3,"AGTAVPRL; AII; AVP","NLR family pyrin domain containing 3","Several AMPK-dependent pathways regulate NLRP3 inflammasome activation during aging, suggesting NLRP3 as a potential pharmacological target in age-related diseases.","deregulated nutrient sensing","Homo sapiens","AMP-Activated Protein Kinase Regulation of the NLRP3 Inflammasome during Aging",10.1016/j.tem.2017.10.009,unknown,Unknown,114548
NOG,"SYNS1; SYM1",noggin,"NOG may be a factor in bone ageing. Essential for cartilage morphogenesis and joint formation.","stem cell exhaustion","Homo sapiens","Impaired Osteoblastic Differentiation, Reduced Bone Formation, and Severe Osteoporosis in Noggin-Overexpressing Mice",10.1172/JCI15543,hsa04350,"TGF-beta signaling pathway",9241
NR3C1,GCRST,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)","Receptor for glucocorticoids. Has a dual mode of action: as a transcription factor that binds to glucocorticoid response elements (GRE), both for nuclear and mitochondrial DNA, and as a modulator of other transcription factors.",others,"Homo sapiens","Glucocorticoid receptor (NR3C1) gene polymorphisms are associated with age and blood parameters in Polish Caucasian nonagenarians and centenarians",10.1016/j.exger.2018.12.006,unknown,Unknown,2908
NRAS,"Transforming Protein N-Ras","GTPase Nras","Ras proteins bind GDP/GTP and possess intrinsic GTPase activity.",others,"Homo sapiens","Pharmacological targeting of STK19 inhibits oncogenic NRAS-driven melanomagenesis",10.1016/j.cell.2019.01.002,hsa04211,"Longevity regulating pathway",4893
NRG1,"HRGA; SMDF","neuregulin 1","It is a direct ligand for ERBB3 and ERBB4 tyrosine kinase receptors. It concomitantly recruits ERBB1 and ERBB2 coreceptors, resulting in ligand-stimulated tyrosine phosphorylation and activation of the ERBB receptors.","cellular senescence","Homo sapiens","Therapeutic efficacy of neuregulin 1-expressing human adipose-derived mesenchymal stem cells for ischemic stroke",10.1371/journal.pone.0222587,unknown,Unknown,3084
NUDT1,8-Oxo-DGTPase,"nudix (nucleoside diphosphate linked moiety X)-type motif 1","NUDT1 plays a redundant role in sanitizing oxidized nucleotide pools, such as 8-oxo-dGTP pools. It acts as a sanitizing enzyme for oxidized nucleotide pools, thus suppressing cell dysfunction and death induced by oxidative stress. It is able to hydrolyze also the corresponding ribonucleotides, 2-OH-ATP, 8-oxo-GTP and 8-oxo-ATP.","genomic instability","Homo sapiens","The Oxidized Forms of dATP Are Substrates for the Human MutT Homologue, the hMTH1 Protein",10.1074/jbc.274.26.18201,unknown,Unknown,4521
PAPPA,"Placenta-Specific 3","pregnancy-associated plasma protein A, pappalysin 1","PAPPA is a metalloproteinase which specifically cleaves insulin-like growth factor binding protein (IGFBP)-5 at the '163-Ser-|-Lys-164' bond. It shows limited proteolysis toward IGFBP-3.","loss of proteostasis","Homo sapiens","Pregnancy-associated plasma protein-A2 (PAPP-A2), a novel insulin-like growth factor-binding protein-5 proteinase",https://doi.org/10.1210/en.2011-0036,unknown,Unknown,5069
PARP1,ADPRT,"poly (ADP-ribose) polymerase 1","PARP1 is poly-ADP-ribosyltransferase that mediates poly-ADP-ribosylation of proteins and plays a key role in DNA repair.","genomic instability","Homo sapiens","Poly(ADP-ribose) polymerase-1, DNA repair and mammalian longevity",10.1016/s0531-5565(02)00144-4,hsa04064,"NF-kappa B signaling pathway",142
PCK1,"Phosphoenolpyruvate Carboxykinase; Cytosolic [GTP]","phosphoenolpyruvate carboxykinase 1 (soluble)","PCK1 regulates cataplerosis and anaplerosis, the processes that control the levels of metabolic intermediates in the citric acid cycle. At low glucose levels, it catalyzes the cataplerotic conversion of oxaloacetate (OAA) to phosphoenolpyruvate (PEP), the rate-limiting step in the metabolic pathway that produces glucose from lactate and other precursors derived from the citric acid cycle. At high glucose levels, it catalyzes the anaplerotic conversion of phosphoenolpyruvate to oxaloacetate.",others,"Homo sapiens","Dynamic acetylation of phosphoenolpyruvate carboxykinase toggles enzyme activity between gluconeogenic and anaplerotic reactions",https://doi.org/10.1016/j.molcel.2018.07.031,hsa04910,"Insulin signaling pathway",5105
PCMT1,"PIMT; Epididymis Secretory Sperm Binding Protein","protein-L-isoaspartate (D-aspartate) O-methyltransferase","It plays a role in the repair and/or degradation of damaged proteins, promote aging.","loss of proteostasis","Homo sapiens","Improved Rotorod Performance and Hyperactivity in   Deficient in a Protein Repair Methyltransferase",10.1016/j.bbr.2003.11.007,unknown,Unknown,5110
