GI number	Uniprot	log2FoldChange	Anova p-value	Description
7660	P25171	0.566287961111973	0.14	BJ1 chromatin binding protein [Drosophila melanogaster]
5731771	Q9U1K3	1.58586446701555	0.05	globin [Drosophila melanogaster]
38048133	Q6XI85	1.47711754550554	0.00641	similar to Drosophila melanogaster Arf102F, partial [Drosophila yakuba]
225543686	C0PVD4	-1.25806815294044	0.00104	TA01510p [Drosophila melanogaster]
17136866	M9PG22	1.11207280836408	0.00973	ADP ribosylation factor 79F, isoform B [Drosophila melanogaster]
17136866	P61209	1.11207280836408	0.00973	ADP ribosylation factor 79F, isoform B [Drosophila melanogaster]
17737499	A0A0B4KEY5	1.11696749502404	0.000918	lethal (2) essential for life, isoform A [Drosophila melanogaster]
17737499	P82147	1.11696749502404	0.000918	lethal (2) essential for life, isoform A [Drosophila melanogaster]
40215669	Q7JUX5	1.11455976426286	0.00849	RE13549p [Drosophila melanogaster]
21635425	Q8MLZ7	1.10316875288435	0.01	imaginal disc growth factor 3 [Drosophila melanogaster]
8799	P16163	-0.247794527773501	0.25	urate oxidase [Drosophila melanogaster]
189458943	B3DNA9	-1.02866375825214	0.05	IP19109p [Drosophila melanogaster]
45549573	Q9VXI1	0.996560916033229	0.00303	CG9914 [Drosophila melanogaster]
11148	P18431	0.61196414241085	0.34	protein kinase [Drosophila melanogaster]
7726	P07182	-0.978671490559488	0.00231	chorion protein S36 [Drosophila melanogaster]
19921688	Q6NMY2	0.97932643173525	0.02	CG8343 [Drosophila melanogaster]
157816520	P07186	-0.974909019037169	0.02	IP19163p [Drosophila melanogaster]
19921562	Q9VIS3	0.960930435321408	0.02	fructose-1,6-bisphosphatase, isoform A [Drosophila melanogaster]
157012	P25439	0.382172865373217	0.13	brahma protein [Drosophila melanogaster]
157032	Q02910	1.55966708438286	0.1	calcium-binding protein [Drosophila melanogaster]
157036	Q03017	0.846430346360549	0.24	cactus zygotic protein [Drosophila melanogaster]
157166	P33270	-0.377846939970427	0.43	cytochrome P-450 [Drosophila melanogaster]
7724	P22977	-0.941106310946431	0.04	chorion protein s16 [Drosophila melanogaster]
17647277	P07185	-0.909397451219093	0.04	chorion protein 15 [Drosophila melanogaster]
18859851	Q9VXF9	0.86754970397635	0.03	rings lost [Drosophila melanogaster]
21711795	Q8MQM4	0.854759862740666	0.01	RH42893p [Drosophila melanogaster]
18921139	Q9W3L4	0.844129089115237	0.00811	CG2233, isoform A [Drosophila melanogaster]
28574860	Q86BI9	0.787270676014272	0.0057	CG18135, isoform D [Drosophila melanogaster]
157908	P26270	0.546654221372264	0.19	Mov34 [Drosophila melanogaster]
18858897	E1JJF3	0.784130702244886	0.04	innexin 2, isoform A [Drosophila melanogaster]
18858897	Q9V427	0.784130702244886	0.04	innexin 2, isoform A [Drosophila melanogaster]
17137212	A4V0B5	0.778368293176769	0.04	nervana 2, isoform C [Drosophila melanogaster]
17137212	Q24048	0.778368293176769	0.04	nervana 2, isoform C [Drosophila melanogaster]
15291597	NA	0.754559654180944	0.03	GM14215p [Drosophila melanogaster]
158214	P04388	-0.0126000367796335	0.85	Dras2 protein [Drosophila melanogaster]
24582196	Q9VMF0	0.761840262805235	0.00404	CG9498 [Drosophila melanogaster]
158413	C0HKF7	-1.99395124149639	0.02	serine protease 1 [Drosophila melanogaster]
40215478	NA	0.76095395035783	0.00726	SD02276p [Drosophila melanogaster]
17737937	P10351	0.742503777707636	0.03	rosy [Drosophila melanogaster]
2326408	O46096	0.719236399733901	0.00262	EG:87B1.3 [Drosophila melanogaster]
158723	P35004	-0.789914474115165	0.02	trypsin-beta [Drosophila melanogaster]
1168232	P41572	0.712796168674436	0.00837	RecName: Full=6-phosphogluconate dehydrogenase, decarboxylating
324096510	F0JAP3	0.6937208157678	0.00571	SD23833p [Drosophila melanogaster]
829184	P48810	-0.690486819940022	0.04	heterogeneous nuclear ribonucleoprotein [Drosophila melanogaster]
158794	Q01637	-0.466781074372842	0.08	UMP synthase; r-l gene product [Drosophila melanogaster]
290247	Q24372	-0.23581293709877	0.52	lachesin [Drosophila melanogaster]
281363473	Q7KN85	0.685364397678994	0.05	ATP citrate lyase, isoform D [Drosophila melanogaster]
304728	P35600	0.442466121838952	0.66	transcription factor [Drosophila melanogaster]
311343	P32234	-0.278301162487104	0.68	GTP-binding protein [Drosophila melanogaster]
24661523	Q9VSX2	0.673499175322814	0.00378	CG4461 [Drosophila melanogaster]
19920382	Q9W5W8	0.650960059495396	0.00317	CG9577 [Drosophila melanogaster]
336832	P00399	0.373418410077105	0.39	cytochrome c oxidase subunit I, partial (mitochondrion) [Drosophila melanogaster]
385454	Q08473	-0.559585937820363	0.24	SqdA [Drosophila melanogaster]
6002112	Q9U5W7	0.64477189595646	0.04	serpin, putative [Drosophila melanogaster]
17530883	P36951	0.632628934351471	0.03	GIP-like [Drosophila melanogaster]
18860083	Q9I7S8	0.645223025538631	0.00124	ade5, isoform A [Drosophila melanogaster]
24645909	Q9VGQ1	0.641206611360775	0.00042	CG5214 [Drosophila melanogaster]
429076	P47949	-0.252187023596801	0.43	troponin-C [Drosophila melanogaster]
432560	NA	-0.243882390866378	0.39	Cdc2E10 product {P element-induced L to Q mutation at residue 176} [Drosophila melanogaster, Peptide Mutagenesis, 297 aa]
25012383	Q8IGX3	0.638721500863498	0.02	RE10625p [Drosophila melanogaster]
281363477	E2QCF1	0.638039553010118	0.05	ATP citrate lyase, isoform F [Drosophila melanogaster]
24581262	M9PEA6	-0.618909832644494	0.00324	ribosomal protein S21, isoform A [Drosophila melanogaster]
24581262	O76927	-0.618909832644494	0.00324	ribosomal protein S21, isoform A [Drosophila melanogaster]
433083	P20228	0.62148837674627	0.02	glutamic acid decarboxylase [Drosophila melanogaster]
281360228	E1JGY6	0.60463248086129	0.05	lethal (2) 01289, isoform F [Drosophila melanogaster]
17647809	P52034	0.594645054118496	0.02	phosphofructokinase, isoform A [Drosophila melanogaster]
21356081	Q9VN86	0.600799048771865	0.03	CG2604, isoform A [Drosophila melanogaster]
467231	P42283	-0.362053021761612	0.3	Lola protein long isoform [Drosophila melanogaster]
21686985	Q7K0B6	-0.598483640374775	0.05	glutathione S transferase T1 [Drosophila melanogaster]
281361040	Q86B44	0.588998013956313	0.02	glutathione synthetase, isoform H [Drosophila melanogaster]
806545	P46223	-0.578281135629507	0.0097	ribosomal protein L7a [Drosophila melanogaster]
17136320	M9PBK5	-0.570832171886268	0.02	ribosomal protein LP1, isoform A [Drosophila melanogaster]
17136320	P08570	-0.570832171886268	0.02	ribosomal protein LP1, isoform A [Drosophila melanogaster]
24667139	Q9VW68	0.578988599676523	0.0025	CG7433, isoform A [Drosophila melanogaster]
560827	P45889	0.7130315290514	0.19	actin related protein [Drosophila melanogaster]
775231	Q24073	-0.158001834066493	0.52	L71-3 [Drosophila melanogaster]
780747	P14199	0.199485750032777	0.68	Ref(2)P protein [Drosophila melanogaster]
17647889	P17704	-0.561878887608115	0.02	ribosomal protein S17 [Drosophila melanogaster]
18859631	A0A0B4LGS0	0.548893246013634	0.03	amylase proximal [Drosophila melanogaster]
18859631	P08144	0.548893246013634	0.03	amylase proximal [Drosophila melanogaster]
20129625	Q9VIX7	0.547968293238955	0.05	fondue, isoform B [Drosophila melanogaster]
896260	V9H007	0.865187793305397	0.17	unknown [Drosophila melanogaster]
902622	P80455	-0.929276676264793	0.03	40S ribosomal protein S12 [Drosophila melanogaster]
11125712	Q9GV29	0.531274629827168	0.01	prophenoloxidase [Drosophila melanogaster]
17136796	E1JIJ5	0.52736619938172	0.00513	vacuolar H[+]-ATPase 55kD B subunit, isoform B [Drosophila melanogaster]
17136796	P31409	0.52736619938172	0.00513	vacuolar H[+]-ATPase 55kD B subunit, isoform B [Drosophila melanogaster]
984321	P98159	-0.686210025178563	0.33	serine protease [Drosophila melanogaster]
1002909	Q10714	0.480625840906421	0.41	putative metalloprotease; Method: conceptual translation supplied by author [Drosophila melanogaster]
18860539	Q9VWI0	-0.517848304862619	0.04	CG12203 [Drosophila melanogaster]
1050970	P49021	-0.187627003175771	0.95	TIM [Drosophila melanogaster]
24654465	Q500Y7	-0.516898225776002	0.03	CG14482, isoform A [Drosophila melanogaster]
221468704	B7YZQ7	0.504472582860788	0.00374	nucleosome remodeling factor - 38kD, isoform B [Drosophila melanogaster]
221468704	O77460	0.504472582860788	0.00374	nucleosome remodeling factor - 38kD, isoform B [Drosophila melanogaster]
1079121	NA	-0.813299285806861	0.12	probable ribosomal protein - fruit fly (Drosophila melanogaster)
4837636	Q9XZU1	0.491999481093728	0.00247	CAS protein [Drosophila melanogaster]
62862484	Q8MSI2	0.491457240917426	0.05	sarcoplasmic calcium-binding protein 1, isoform A [Drosophila melanogaster]
85724808	Q5BI73	-0.501648606740267	0.05	chorion protein a at 7F, isoform A [Drosophila melanogaster]
17136742	A0A0B4LGZ3	-0.483895574550755	0.00334	twins, isoform A [Drosophila melanogaster]
17136742	P36872	-0.483895574550755	0.00334	twins, isoform A [Drosophila melanogaster]
19922390	Q7JZW2	-0.485426827170242	0.0082	ribosomal protein S15, isoform A [Drosophila melanogaster]
24640005	Q9W457	0.488076405584191	0.00212	CG3011, isoform A [Drosophila melanogaster]
24585531	Q9VII1	-0.476902754863703	0.01	CG9336, isoform A [Drosophila melanogaster]
24640413	P18171	-0.471419969176363	0.04	defective chorion 1, isoform A [Drosophila melanogaster]
24643254	Q0KHQ6	0.475853500463441	0.01	6-phosphofructo-2-kinase, isoform A [Drosophila melanogaster]
221330830	B7Z0B2	0.477400686631324	0.02	CG10359, isoform E [Drosophila melanogaster]
442623966	A0A0B4LFL3	-0.476771140117374	0.04	elongation factor 1 beta [Drosophila melanogaster]
442623966	O96827	-0.476771140117374	0.04	elongation factor 1 beta [Drosophila melanogaster]
24581914	Q9VMS1	-0.463891266827997	0.04	cyclope, isoform A [Drosophila melanogaster]
1498252	P98081	-1.0530664213729	0.14	tyrosine kinase substrate [Drosophila melanogaster]
45555998	NA	0.469728140812254	0.03	CG32549, isoform A [Drosophila melanogaster]
1502306	P54367	1.67365639001996	0.05	casein kinase I [Drosophila melanogaster]
1575558	Q94529	-3.74495838491974	0.03	GS1-like protein [Drosophila melanogaster]
1575599	Q94918	0.527629325655204	0.06	epidermal growth factor-like protein [Drosophila melanogaster]
1621615	Q94535	0.082584781653246	0.75	U2 snRNP auxiliary factor [Drosophila melanogaster]
119116236	A0ZWR6	0.465010990616147	0.05	thiolester containing protein II, isoform A [Drosophila melanogaster]
1695706	P91622	0.522421034652443	0.43	DmPdk [Drosophila melanogaster]
